Cód. Relato,Data Relato,Texto do relato,Resposta,Data Resposta
72.601,04/01/2013,"Lista remuneratória nominal não divulgada pelo TRT RJ
 -------------------------
 Prezados, 
 
 O sítio do TRT RJ, em sua parte de ""Transparência Pública"" (http://www.trt1.jus.br/web/guest/transparencia-na-gestao-publica) está em flagrante descumprimento à Resolução 151 deste CNJ. A lista com dados remuneratórios está desatualizada (só até abril 2012), e não há o nome do servidor, apenas uma lista com funções e componentes da remuneração. 
 Como procedo para ter acesso a esses dados? A ouvidoria do TRT RJ já foi acionada, mas ainda sem solução. 
 
 Atenciosamente,
 
 [XXX]","Em atenção a sua manifestação, registrada com o número 72.601, informamos que o Conselheiro Wellington Cabral Saraiva determinou, em 10/01/13, a intimação da Presidência do Tribunal Regional do Trabalho da 1.ª Região para o cumprimento integral da Resolução 151, de 5 de julho de 2012, do Conselho Nacional de Justiça.
 A determinação será objeto do processo de acompanhamento de cumprimento de decisão 004704-66.2012.2.00.0000. 
 Por conseguinte, provavelmente no prazo de cerca de dez dias as informações estarão disponíveis.
 Atenciosamente,",11/01/13
72.606,04/01/2013,"Participei da história da democracia do meu país, ..VOTANDO! E desde 23/08 aguardo resposta da Ouvidoria de nº[XXX], com a seguinte redação: encaminho o requerimento protocolado e devolvido; juntamente com certidão expedida pela Secretaria Processual do CNJ (rubricada).
 
 Toda a via crucis, será divulgada em atenção a Lei de acesso à informação e a entrevista do Presidente do CNJ (Cesar Peluso) no Jornal Nacional, de 11/11/11 afirmando que o Judiciário não compactua com irregularidades.
 Em tempo solicito o site do CNV( Conselho Nacional da Verdade)","Em atenção a sua manifestação, informamos que a sua manifestação nº 60856 foi respondida no dia 6/7/12, com a resposta a seguir:
 ""À Senhora 
 [XXX]
 A Ouvidoria do Conselho Nacional de Justiça agradece o envio de sua manifestação e informa que o seu conteúdo é insuficiente.
 Desse modo, pedimos que nos esclareça qual o seu pedido, a fim de que possamos analisar seu teor e orientá-la de forma adequada.
 Obs.: ao encaminhar as informações, favor informar o número de registro desta resposta. Atenciosamente, 
 Ouvidoria
 Conselho Nacional de Justiça
 SEPN 514, bloco B, lote 7, ala B, sala 103¿ 70760-542 ¿ Brasília (DF)
 Telefone: (61) 2326-4607 / 2326-4608",07/01/13
72.765,08/01/2013,"CONSULTA A PROCESSO
 -------------------------
 BOM DIA ! GOSTARIA DE SABER COMO POSSO CONSULTAR O PROCESSO DO MEU PAI, POIS SEMPRE CONSULTO NO TST E APARECEU A MENSAGEM :17/12/2012 
 A partir desta data, serão exibidas movimentações conforme padrão estabelecido nas tabelas processuais unificadas do Poder Judiciário.
 E EU NÃO CONSIGO MAIS ACHAR O PROCESSO , VOCÊS PODERIAM ME AJUDAR POIS JÁ DESDE DE 2008 QUE TA EM ANDAMENTO E NADA ATÉ AGORA ,O ADVOGADO NÃO ME RESPONDE NADA E EU E MINHA FAMILIA ESTAMOS MUITO PRECISANDO .. SEGUE O NOME DO MEU FALECIDO PAI : [XXX] O ADVOGADO É [XXX]...ME AJUDEM POR FAVOR !!!! OBRIGADA","Em atenção à sua manifestação, informamos que compete ao Conselho Nacional de Justiça o controle da atuação administrativa e financeira do Poder Judiciário e do cumprimento dos deveres funcionais dos juízes, nos termos do art. 103-B, § 4º, da Constituição Federal.
 Para receber informações sobre o andamento processual, Vossa Senhoria pode procurar diretamente o Tribunal ou a Vara em que tramita o referido processo ou consultar seu advogado.
 Vossa Senhoria poderá entrar em contato com a Ouvidoria do Tribunal Superior do Trabalho para obter mais informações.
 Atenciosamente,",09/01/13
72.820,09/01/2013,"instalação de varas por determinação do cnj
 -------------------------
 Solicito informações sobre a instalação da 4ª vara de execuções penais em Pernambuco em cumprimento a recomendação feita pelo cnj ao referido tribunal, haja vista ter sido dado o prazo de 180 dias para a instalação da referida vara pelo tjpe e este prazo esta esgotando-se (fevereiro 2013) sem que os cidadãos interessados tenham alguma informação sobre a mesma. Desejo ainda informações sobre o cumprimento da recomendação feita por esta casa ao tjpe sobre a nomeação de concursados, lotação de servidores por varas e manutenção de servidores cedidos por outros órgãos neste tribunal. Grata, [XXX].","O Conselho Nacional de Justiça (CNJ) aguarda o fim do prazo concedido ao referido tribunal para verificar o cumprimenrto da decisão. 
 Caso a recomendação não seja cumprida, o CNJ tomará as medidas pertimentes que o caso requer.
 Atenciosamente,",11/01/13
73.111,14/01/2013,"Panorama dos conflitos vivenciados
 -------------------------
 Prezados,
 Sou pesquisadora da Universidade de [XXX] e estou pesquisando quais são os conflitos mais recorrentes no âmbito do judiciário brasileiro. Já consultei o ""Panorama do acesso à justiça
 no Brasil, 2004 a 2009"" e vi que os conflitos mais recorrentes são da esfera trabalhista e familiar. Preciso de mais detalhes e também de dados mais atualizados, já que o relatório é de 2009. Por gentileza, como faço para conseguir estes dados? Está informação será essencial para eu dar continuidade à minha pesquisa. Muito obrigada. At. [XXX]","Conforme informações prestadas pelo Departamento de Pesquisa Judiciária, informamos que o estudo em questão teve a Pesquisa Nacional por Amostra de Domicílios ¿ PNAD como base para a análise produzida. Desde então a PNAD não publicou um novo suplemento de vitimização e acesso a justiça, o que impossibilita um novo estudo com dados mais recentes. Maiores detalhes do referido suplemento pode ser verificado junto ao IBGE pelo link abaixo.
 http://www.ibge.gov.br/home/estatistica/populacao/vitimizacao_acesso_justica_2009/default.shtm
 Atenciosamente,",17/01/13
73.118,14/01/2013,"Documentos sobre penas alternativas e alternativas penais
 -------------------------
 Boa tarde, meu nome é [XXX] e estou fazendo uma pesquisa para meu mestrado em Ciências Criminais sobre a Política Nacional de Penas Alternativas e sobre a Estratégia Nacional de Alternativas Penais. Esta pesquisa envolve a análise de documentos produzidos por órgãos públicos sobre as penas alternativas e demais alternativas penais à prisão a partir de 1984.
 
 Assim, gostaria de saber quais documentos, de qualquer espécie, foram produzidos pelo Conselho Nacional de Justiça sobre as penas e medidas alternativas e demais alternativas penais. Ainda, gostaria de obter acesso a esses documentos. No próprio site do CNJ, já encontrei os posters e banners da Campanha ""Não é punir menos, é punir melhor"", mas gostaria de saber o que mais o CNJ produziu sobre o tema (atas, resoluções, manuais, orientações, documentos em geral).
 
 Agradeço pela atenção e aguardo retorno,
 
 [XXX]
 Mestrando em Ciências Criminais
 Pesquisador [XXX]","Sua manifestação foi encaminhada ao Departamento de Monitoramento e Fiscalização do Sistema Carcerário e do Sistema de execução de medidas socioeducativas que prestou a seguinte informação:
 "" O Departamento de Monitoramento e Fiscalização do Sistema Carcerário, em 2011, através da Portaria 46, o CNJ institui o Grupo de Trabalho de Juízes de Varas de Penas e Medidas Alternativas. A gestão das penas e medidas alternativas vem cumprindo o caráter retributivo e reabilitador da pena. A consolidação da Política Criminal das Penas e Medidas Alternativas torna-se cada vez mais relevante perante os problemas evidentes do sistema prisional, tais como a superlotação e os tratamentos que violam princípios básicos da dignidade humana. Através deste Grupo de Trabalho, viabilizou-se uma parceria com Ministério da Justiça na qual se persegue o objetivo de concretizar uma política para o Sistema Nacional de Penas e Medidas sobre tudo quanto à questão do desencarceramento. 
 Ações Relacionadas: reuniões quinzenais sob a presidência do Juiz Auxiliar deste Departamento com membros do Ministério da Justiça, Defensoria Pública, Magistrados, servidores do Judiciário, membros do Executivo Federal e Estadual. 
 Resultados: Os resultados ficam registrados em atas de reuniões e que, ao término do trabalho, serão compiladas num relatório final e encaminhado ao Congresso Nacional como sugestão de alterações e criações legislativas. 
 Atos normativos relacionados: Portaria 46/2011 de 27 de maio de 2011. 
 Eventos realizados: Reuniões periódicas. Quinzenais e mensais. 
 Propostas de ações e/ou projetos futuros: Os levantamentos e apontamentos servirão para embasar uma política para o Sistema Nacional de Penas e Medidas.""
 Atenciosamente,",16/01/13
73.484,18/01/2013,"Super Salário - Regra e não exceção!!! 
 -------------------------
 Olá Boa Tarde, 
 
 Logo no inicio do ano de (abril ou maio) de 2012 foi implementada a ""transparencia"" no site do TJ-MT, e logo no primeiro mês foram pagos, a alguns magistrados valores acima do teto constitucional, então eu fiz uma solicitação ao próprio CJN (protocolo nº Registro Ouvidoria/CNJ: [XXX]) uma explicação para isso, e fui informado pelo Conselheiro Ouvidor Wellington Cabral Saraiva, que o teto constitucional é um limitador apenas dos subsídios, mas que existem alguns pagamentos (como 13º - férias - abonos dentre outros) que não ficam ""dentro"" deste limite, mas que deveria ser uma questão de Exceção, e não de regra, mas conforme o ano passou, a cada mês os salários continuam altos (acima do salário dos Ministros do STF mês a mês, chegando a 150 mil, 98 mil, 70 mil,) mostrando-se como uma REGRA
 
 Agora eu gostaria de saber novamente, como é possível isso acontecer?? a indenizações pagas nunca acabam?? o TJ nunca termina de pagar as indenizações??
 
 Muito obrigado pela atenção. Aguardo Resposta
 
 Segue abaixo minha primeira a consulta e logo mais abaixo a resposta obtida.
 Boa Tarde,
 Meu nome é [XXX], um cidadão comum, de inteligencia mediana, mas que não entende uma questão.
 o Salário dos magistrados tem um teto certo? que deve ser de R$ 26 mil, mas como pode um Estado como o de Mato grosso, que a maioria absoluta, conforme informações contidas no site, receberam no ms de julho mais que R$ 50 mil, ou seja o dobro.
 Se alguém pudesse me explicar isso, e também deixar registrado a indignação, com essa discrepância com a realidade. Eu sei que quem recebe isso estudou muito para isso, mas talvez com a explicação eu possa entender melhor.
 Registro Ouvidoria/CNJ: [XXX]
 Ao Senhor
 [XXX]
 
 
 Em atenção à sua manifestação, de ordem do Conselheiro Ouvidor Wellington Cabral Saraiva, informamos que:
 
 O teto constitucional diz respeito ao valor máximo a título de subsídio (remuneração mensal do cargo) recebido pelos membros, servidores e colaboradores do Poder Judiciário. O valor máximo do subsídio mensal, porém, não exclui a possibilidade de recebimento de outros valores por parte desses agentes públicos, tais como décimo terceiro salário, adicional constitucional de um terço de férias e pagamentos de valores atrasados devidos a juízes e servidores, quando reconhecidos pela própria administração pública ou determinados em ações judiciais. Ocasionalmente, o pagamento de valores a esse título pode gerar, em um determinado mês, créditos totais acima do teto constitucional, sem que isso configure desobediência à legislação.
 
 Esclarecemos ainda que o Conselho Nacional de Justiça deverá realizar fiscalizações nas folhas de pagamento do Poder Judiciário, para verificar a possibilidade de algum tribunal efetuar pagamentos a juízes e servidores em desacordo com o teto constitucional.
 
 Atenciosamente,
 
 Ouvidoria
 Conselho Nacional de Justiça
 SEPN 514, bloco B, lote 7, ala B, sala 103¿ 70760-542 ¿ Brasília (DF)
 Telefone: (61) 2326-4607 / 2326-4608","Em atenção a sua manifestação, conforme orientação do Exmo. Conselheiro Ouvidor Wellington Cabral Saraiva, informamos que:
 ""a) informações acerca do fundamento legal de verbas remuneratórias pagas por tribunal a seus membros e servidores devem ser solicitadas diretamente ao tribunal; 
 b) o Conselho Nacional de Justiça não administra diretamente a folha de pagamento de cada corte, uma vez que lhe cabe é o controle da atuação administrativa e financeira do Poder Judiciário e do cumprimento dos deveres funcionais dos juízes, nos termos do artigo 103-B, § 4.º, da Constituição da República;
 c) apesar dessa função de controle do Conselho Nacional de Justiça, cada tribunal possui autonomia administrativa e financeira, nos termos do artigo 99 da mesma Constituição; 
 d) em agosto de 2012, o Ouvidor do Conselho Nacional de Justiça propôs a instauração de procedimentos administrativos no CNJ para fiscalizar a regularidade das folhas de pagamento dos órgãos do Poder Judiciário, o que ocorrerá ao longo dos próximos meses.""
 Atenciosamente,",04/02/13
73.789,23/01/2013,"Existência de Projeto de criação de cargos
 -------------------------
 Tive conhecimento da existência de um projeto de lei para criação de cargos de Analista Judiciário - Área Judiciária para o Tribunal Superior do Trabalho e Conselho Nacional da Justiça do Trabalho. Gostaria de saber se esse projeto de fato existe, qual o numero dele e em que estado ele se encontra.
 Ainda, se possível, como interessada na tramitação desse projeto - visto que aprovada em concurso público de tal cargo e órgão -, gostaria de saber se há como dar andamento ou pedido de inclusão de pauta do referido processo.
 Obrigada.","Em atenção a sua manifestação, informamos que tramita no Conselho Nacional de Justiça um Parecer de Mérito sobre Anteprojeto de Lei Nº 0001712-35.2012.2.00.0000, e o acompanhamento processual poderá ser realizado na página eletrônica do Conselho Nacional de Justiça. Basta acessar o site www.cnj.jus.br, clicar em ""Consulta de processos eletrônicos"" e realizar a consulta.
 Atenciosamente,",04/02/13
73.991,27/01/2013,"Cópias de documentos.
 -------------------------
 Prezado Relator JORGE HÉLIO CHAVES DE OLIVEIRA, gostaria se solicitar cópia da petição inicial e das informações prestadas pelo Egrégio Tribunal de Justiça do Estado do Rio Grande do Sul no autos do processo 0004390-28.2009.2.00.0000, de relatoria de Vossa Excelência, atualmente aguardando o voto-vista do Eminente Conselheiro Corregedor Francisco Falcão, para fins de conhecimento. Agradecemos antecipadamente.","Em atenção a sua manifestação, conforme informação prestada pela Secretaria Processual, todos os documentos do Pedido de Providências 0004390-28.2009.2.00.0000 estão disponíveis para consulta no sistema do processo eletrônico e-CNJ (www.cnj.jus/ecnj). As informações de como realizar o cadastramento no e-CNJ podem ser conferidas em: https://www.cnj.jus.br/ecnj/listarUsuariosAtivacao.php
 Atenciosamente,",07/02/13
74.073,28/01/2013,"denúncia em 01/10/2012
 -------------------------
 O documento anexo explicita o conteúdo desta. Necessito do andamento da denúncia em que pese notícia abaixo veiculada.Denúncia em 01/10/2012
 O reforço das ações de combate à improbidade administrativa foi a principal meta aprovada, na última terça-feira (6), na plenária de encerramento do VI Encontro Nacional do Poder Judiciário, realizado pelo Conselho Nacional de Justiça (CNJ) em Aracaju/SE. Presidentes de Tribunais da Justiça Federal e da Justiça Estadual assumiram o compromisso de, até 31 de dezembro de 2013, identificar e julgar as ações de improbidade administrativa e ações penais relacionadas a crimes contra a administração pública.","A Ouvidoria do Conselho Nacional de Justiça agradece o envio de sua manifestação.
 Desse modo, pedimos que nos esclareça qual o seu pedido, a fim de que possamos analisar seu teor e lhe orientar de forma adequada.
 Atenciosamente,",31/01/13
