MANIFESTAÇÃO,DATA DA ENTRADA,DATA DA RESPOSTA,TEOR,RESPOSTA
1,08/01/15,09/01/15,"Gostaria de obter informações sobre um possível concurso do MP/ PIAUÍ . E ainda, há quantas vagas ociosas para técnico e analista judiciário (área judiciária) ?Agradeço, desde já.","Comunicamos que segundo informações advindas do setor de Recursos Humanos deste Ministério, o concurso foi prorrogado até o mês de abril de 2016. A quantidade de cargos providos e vagos de Analista é: - Existentes: 74 - Providos: 73. A quantidade de cargos providos e vagos de Técnico é: - Existentes: 193 - Providos: 139.
 
 Em caso de dúvidas a senhora deverá entrar em contato, diretamente, com o referido setor, através do endereço: rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4585, Teresina- PI."
2,20/01/15,20/01/15,"Solicitação de informações através de preenchimento de questionário sobre unidade administrativa na estrutura organizacional do Ministério Público do Estado do Piauí que atue com do Governança de Tecnologia da Informação. 
 Prezado(a) Senhor(a) Coordenador(a)
 Coordenadoria de Tecnologia da Informação - MP-PI
  
 
 Informamos que no Tribunal Regional do Trabalho da 9a Região (Estado do Paraná) encontra-se em fase de estruturação o Núcleo de Governança e Gestão de TIC, unidade vinculada diretamente à Direção Geral deste Tribunal.
 
 Buscando conhecer experiências advindas da atuação na área de Governança de TIC nesse Órgão, solicitamos cordialmente o compartilhamento de algumas informações sobre o tema, oportunidade em que relacionamos as questões seguintes:
 Obs.: o questionário abaixo poderá ser respondido diretamente na planilha em anexo e enviada por email também na forma de anexo.
  
 1. Há uma unidade administrativa (núcleo, seção, etc.) individualizada na estrutura organizacional desse Órgão que atue especificamente na área de Governança de TIC ?
 
 2. Dados da unidade responsável pela Governança de TIC nesse Órgão?
 Obs.: caso não haja uma unidade individualizada cuja função específica seja a atuação na área de Governança de TIC, favor informar os dados da área responsável
 a) Nome da unidade:
 b) Nome do servidor responsável pela unidade:
 c) Telefone da unidade:
 d) Email para contato:
 e) Quantidade de servidores que atuam exclusivamente na unidade:
 f) Qual a subordinação direta da unidade administrativa dentro do organograma do Órgão?
 g) Qual o link de acesso ao organograma do Órgão? Caso o organograma não esteja disponível para acesso online, seria possível nos fornecer o arquivo?
 h) A unidade administrativa possui subdivisões? Caso positivo, quais?
 i) Link do site da área (interno/externo):
 
 3. Há regulamento que institui a Governança de TIC nesse Órgão? Caso positivo, há possibilidade de nos fornecer o documento ou o link de acesso?
  
 4. Há política de implantação de Governança de TIC nesse Órgão? Caso positivo, há possibilidade de nos fornecer o documento ou o link de acesso?
 
 5. Já foi elaborado um PETIC cujo período de abrangência compreenda o ano de 2015 e seguintes?
 
 6. Qual o período de abrangência do PETIC vigente?
 
 7. O PETIC foi elaborado:
 a) pela unidade individualizada cuja função específica seja a atuação na área de Governança de TIC;
 b) por outra unidade administrativa. Qual o nome da unidade?
 
 8. Qual o período de abrangência do PDTIC vigente?
  
 9. Há repositório normativo nesse órgão? Em caso positivo, há possibilidade de nos fornecer o link de acesso?
  
 10. Alguma outra informação relevante (inclusive algum conjunto de boas práticas) que queira registrar sobre a Governança de TIC ?
 
 No aguardo de possível resposta ao questionário acima, desde já externamos nossos agradecimentos e colocamo-nos à disposição para compartilhar nossas experiências.","Encaminhado Memorando de nº 001/2015 à Coordenação de tecnologia da Informação do MPPI, com a solicitação da informação. Dia 30/01/2015 foi recebido através de e-mail encaminhado pela Coordenadora de Tecnologia da informação do MPPI o questionário respondido com as informações solicitadas pelo manifestante. Foi informado ainda a existência do Comitê Estratégico de Tecnologia da Informação constante no âmbito do MPPI. 
 
 1. Há uma unidade administrativa (núcleo, seção, etc.) individualizada na estrutura organizacional desse Órgão que atue especificamente na área de Governança de TIC ?
 A Governança de TI no MP-PI se faz através do Comitê Estratégico de TI
 
 2. Dados da unidade responsável pela Governança de TIC nesse Órgão?
 Obs.: caso não haja uma unidade individualizada cuja função específica seja a atuação na área de Governança de TIC, favor informar os dados da área responsável
 Como não há uma unidade, é apenas um Comitê este é composto por 4 Promotores e 1 servidor. A presidente do Comitê é Dra Carmelina, os outros membros são compostos pelo Chefe de Gabinete da Procuradora-Geral de Justiça, Assessor de Planejamento Estratégico e Corregedoria. A servidora é a Coordenadora de TI deste órgão.
 
 Qualquer informação a Coordenadora de TI pode estar explicando melhor, contato telefonico: 86 3216-4550/ Ramal: 4807
 
 a) Nome da unidade:
 b) Nome do servidor responsável pela unidade:
 c) Telefone da unidade:
 d) Email para contato:
 e) Quantidade de servidores que atuam exclusivamente na unidade:
 f) Qual a subordinação direta da unidade administrativa dentro do organograma do Órgão?
 g) Qual o link de acesso ao organograma do Órgão? Caso o organograma não esteja disponível para acesso online, seria possível nos fornecer o arquivo?
 h) A unidade administrativa possui subdivisões? Caso positivo, quais?
 i) Link do site da área (interno/externo):
 
 3. Há regulamento que institui a Governança de TIC nesse Órgão? Caso positivo, há possibilidade de nos fornecer o documento ou o link de acesso?
 Não
 4. Há política de implantação de Governança de TIC nesse Órgão? Caso positivo, há possibilidade de nos fornecer o documento ou o link de acesso?
 Sim. A Política de implantação de Governança está dentro do documento de Planejamento Estratégico da Instituição: http://www.google.com.br/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CB8QFjAA&url=http%3A%2F%2Fwww.mp.pi.gov.br%2Finternet%2Fphocadownload%2Fplanejamento%2FPlano%2520Estrategico%25202010-2022.pdf&ei=0lzLVImqPIKvggTr7YD4Aw&usg=AFQjCNGwm58rXj9p5a5iLYfRDSSgVG7h1A&sig2=uriHverlVjJqZoWvqYaUjA&bvm=bv.84607526,d.eXY
 5. Já foi elaborado um PETIC cujo período de abrangência compreenda o ano de 2015 e seguintes?
 O Plano Estratégico de TI para 2015 ainda não foi traçado, será feito levantamento das demandas e orçamento para se fazer o planejamento.
 
 6. Qual o período de abrangência do PETIC vigente?
 PETIC 2014
 
 7. O PETIC foi elaborado:
 a) pela unidade individualizada cuja função específica seja a atuação na área de Governança de TIC;
  Pelo Comitê Estratégico de TI
 b) por outra unidade administrativa. Qual o nome da unidade?
 
 8. Qual o período de abrangência do PDTIC vigente?
 Não há Plano Diretor
  
 9. Há repositório normativo nesse órgão? Em caso positivo, há possibilidade de nos fornecer o link de acesso?
 Sim. http://www.mppi.mp.br/internet/index.php?option=com_content&view=category&layout=blog&id=242&Itemid=133"
3,25/02/15,02/03/15,"Gostaria de saber se há previsão para a realização de concurso para estágio na área de Direito no MPE PI. E, caso positivo, há uma dataaproximada? Há um quantitativo de vagas previsto?","De acordo com informação do setor de Recursos Humanos do MP/PI, há previsão de um novo processo seletivo para estagiários aindapara o 1º semestre de 2015. Não há, no entanto, previsões de data e de vagas."
4,16/03/15,07/04/15,"Com base na Lei 12.527/2011 gostaria de obter os dados sobre a remuneração e proventos percebidos por todos os membros e servidoresativos, inativos, pensionistas e colaboradores do Ministério Público do Piauí, incluindo as indenizações e outros valores pagos a qualquertítulo, bem como os descontos legais, com identificação individualizada do beneficiário e da unidade na qual efetivamente presta serviços,na forma do Anexo I do Art 7º, VII da Resolução CNMP 89/2012.Solicito as planilhas mensais dos anos de 2012, 2013 e 2014 em formato processável por máquina de modo que seja possível somar everificar o valor anual dos dados mencionados acima, identificando nominalmente membros e servidores ativos, inativos, pensionistas ecolaboradores que receberam os referidos valores.","Constatamos que as informações solicitadas anteriormente em sua manifestação encontram-se disponíveis no site do Ministério Público do Piauí, através do campo “TRANSPARÊNCIA” que está localizado no campo superior do site. Em caso de dúvida o senhor deverá entrar em contato diretamente com o setor de Recursos Humanos deste Ministério Público, pois o mesmo é responsável pela atualização dos dados. Segue abaixo o contato do referido setor, bem como o Link para acesso.
 
 
 
 RECURSOS HUMANOS- MPE- PI
 
 
 Rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4585, Teresina- PI.
 
 
 SITE- MPE- PI
 
 
 http://www.mp.pi.gov.br/internet/"
5,20/03/15,23/03/15,O 2º CONCURSO PÚBLICO PARA PROVIMENTO DOSSERVIDORES PÚBLICOS DO MPE/PI FOI PRORROGADO?,"De acordo com informações do setor de Recursos Humanos deste órgão, o concurso foi prorrogado até o mês de abril de 2016. Paramaiores informações sobre este assunto, orientamos que V. Sr.ª entre em contato diretamente com a Coordenadoria de Recursos Humanosdo Ministério Público, através do telefone: (86) 3216-4550 (ramal 4585), e-mail:recursoshumanos@mppi.mp.br."
6,28/03/15,30/03/15,"Gostaria de obter as seguintes informações com base na Lei 12.527:Qual foi o orçamento deste Ministério Público nos anos de 2012, 2013 e 2014? Solicito, ainda que sejam detalhados os montantesdestinados à compra de bens e à contratação de serviços e os montantes destinados ao pagamento de custos com recursos humanos.","Comunicamos o recebimento de seu pedido de informação ao tempo em que informamos que TODOS os dados solicitados referentes a2012,2013 e 2014 quanto ao orçamento e custos com recursos humanos se encontram disponíveis em nosso site através do Portal daTransparência-> Execução Orçamentária e Financeira, inclusive disponível em arquivos de fácil acesso.Informamos ainda que em caso de dúvida o senhor poderá entrar diretamente em contato com o setor de Recursos Humanos desteMinistério através do endereço: rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4585, Teresina- PI."
7,28/03/15,28/03/15,"Com base na Lei 12.527/2011 gostaria de obter os dados sobre a remuneração e proventos percebidos por todos os membros e servidoresativos, inativos, pensionistas e colaboradores deste Ministério Público referente aos meses de 2012, 2013 e 2014 em formato processávelpor máquina de modo que seja possível somar e verificar o valor anual dos valores mencionados, bem como identificar nominalmentemembros e servidores ativos, inativos, pensionistas e colaboradores que receberam os referidos valores.Os dados solicitados devem conter grau de detalhamento além do apresentado pela planilha de divulgação obrigatória instituída peloANEXO I do Art 7º, VII da Resolução CNMP 89/2012, conforme descrito abaixo:(i) os valores pagos sob a rubrica “Remuneração do cargo efetivo” devem ser detalhados e discriminados, de modo que se possadistinguir os valores pagos a título de (a) vencimento, (b) GAMPU, (c) adicional de qualificação e (d) outras verbas que compõem a referidarubrica.(ii) os valores pagos sob a rubrica “Outras verbas remuneratórias, legais ou judiciais” devem ser detalhados e discriminados, de modo quese possa distinguir os valores pagos a valores pagos a título de (a) VPNI, (b) adicional por tempo de serviço, (c) quintos e décimos e (d)vantagens decorrentes de sentença judicial ou extensão administrativa. No caso de haver algum valor pago à título de sentença judicial,pedimos fazer referência à sentença.(iii) os valores pagos sob a rubrica """"Indenizações"""" devem ser detalhados e discriminados, de modo que se possa distinguir os valorespagos a título de (a) auxílio-alimentação, (b) auxílio-transporte, (c) auxílio-moradia, (d) ajuda de custo e outras desta natureza.(iv) valores pagos sob a rubrica """"Remuneração eventual ou temporária"""" devem ser detalhados e discriminados, de modo que se possadistinguir os valores pagos à título de (a) função de confiança ou cargo em comissão, (b) gratificação natalina, (c) férias, (d) abono depermanência, nos termos da Resolução 89/2012 do CNMP.(v) Os Descontos Legais devem ser detalhados e discriminados, de modo que se possa distinguir os descontos realizados à títulos de (a)contribuição previdenciária, (b) imposto de renda, (c) retenção por teto constitucional;(vi) Valores pagos em atraso ou remunerações retroativas, nos termos da Resolução 89/2012 do CNMP, acrescentadas da devida motivaçãopara o pagamento e o mês a que se referem os pagamentos em atraso;",As informações solicitadas por V. Sr.ª estão disponibilizadas no Portal da Transparência do site deste Ministério Público do Estado doPiauí(www.mppi.mp.br):http://www.mppi.mp.br/internet/index.php?option=com_phocadownload&view=category&id=733&Itemid=245
8,20/04/15,22/04/15,Gostaria de saber se há previsão de data de concurso para estagiários na área de Direito.,"Comunicamos que foi prorrogado o prazo de validade do III Teste Seletivo para para admissão de estagiários de nível superior do Ministério Público do Piauí, pelo período de 01 (um) ano com resultado homologado pelo Egrégio Conselho Superior em decisão unânime publicada no Diário da Justiça nº 7.491, de 14 de abril de 2014.
 
 
 
 Para mais informações o senhor deverá entrar em contato diretamente com a Coordenação de Recursos Humanos deste Ministério Público através do endereço: rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4585, Teresina- PI."
9,22/04/15,23/04/15,"Senhores,me forneçam o e-mail da Promotora de Justiça da comarca de Padre Marcos.","Segue abaixo os contatos solicitados, bem como o endereço da Promotoria de Padre Marcos.
 
 
 E-mail- Promotoria de Padre Marcos: pj.padremarcos@mppi.mp.br
 
 E-mail Funcional- Promotora: Karine Araruna: karine_araruna@mppi.mp.br
 
 
 
 Promotoria de Justiça de Padre Marcos
 
 
 Rua Joaquim Rodrigues de Macedo, nº 05, fórum central, centro, cep 64680-000, telefone (89) 3431-1147/ 1145/ 1362, Padre Marcos- PI
 
 Segue abaixo os contatos solicitados, bem como o endereço da Promotoria de Padre Marcos.
 
 
 E-mail- Promotoria de Padre Marcos: pj.padremarcos@mppi.mp.br
 
 E-mail Funcional- Promotora: Karine Araruna: karine_araruna@mppi.mp.br
 
 
 
 Promotoria de Justiça de Padre Marcos
 
 
 Rua Joaquim Rodrigues de Macedo, nº 05, fórum central, centro, cep 64680-000, telefone (89) 3431-1147/ 1145/ 1362, Padre Marcos- PI"
10,24/04/15,28/04/15,"Sou advogado de uma das partes no processo 0012962-60.2014.8.18.0140, no qual a douta Magistrada abriu vistas ao MP. Conforme constano sistema, o processo encontra-se há um mês com a representante da nobre Instituição. Assim sendo, gostaria de saber se há algumnúmero para que eu possa entrar em contato com a 52ª Promotoria de Justiça de Família e Sucessões da Comarca de Teresina, PromotoraVerônica Rodrigues Sales, para saber alguma informação sobre a devolução do mesmo ao respectivo Juízo.","A 52ª Promotoria de Justiça está localizada na Rua 19 de novembro, nº 159, Edifício Carlos Estevam, Centro, Teresina-PI, CEP 64000-470.Telefone: (86) 3216-4550, ramal 4626.Entramos em contato hoje (28/04/2015) com a 52ª Promotoria, a qual nos informou que a previsão é que os autos do processo em telasejam despachados até amanhã (29/04/2015)."
11,7/5/15,8/5/15,"Olá, sou academico de Serviço social Bloco VII, e meu projeto de pesquisa é o processo de trabalho do assistente social no ministeriopublico do Piaui.. eu já entrevistei a nubia assitente social, queria saber qual o nome da Psicologa para que eu possa gerar o oficio em seunome e entrevista-la também, se não houver nenhum problema..","Comunicamos o recebimento de seu pedido de informação ao tempo em que informamos que a psicóloga deste Ministério público é a Sra.Liadra Nogueira Soares, que atualmente está lotada na Assessoria Técnica de Psicologia. Informamos ainda que caso necessite de maisinformações o senhor poderá entrar em contato diretamente com a mesma através do endereço do citado setor localizado na rua ÁlvaroMendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4625, Teresina- PI."
12,11/05/15,12/5/15,"Prezado senhor,Estou preparando uma pesquisa para o setor de tecnologia da informação e gostaria de entrar em contato com o responsável por essa áreanesse ministério público.Por este motivo, solicito a gentileza de informar o nome, o email e o telefone desse profissional para que possamos entrar em contato.","Comunicamos o recebimento de seu pedido de informação, ao tempo em que informamos que atualmente a Coordenadora do Setor deTecnologia da Informação deste Ministério é a Sra. Anne Carolline Carvalho. Segue abaixo o contato funcional do setor e da Coordenadora.MPE-PISetor de Informática: rua Álvaro Mendes, nº 2294, 2º andar centro, cep 64000-060, telefone (86) 3216-4550, ramais 4807/ 4592 e 4601,Teresina- PI.E-mail funcional: carolinnecarvalho@mppi.mp.br"
