numero;ano;data_pedido;recurso;situacao_pedido;orgao_solicitacao;descricao;arquivo_pedido;resposta;orgao_resposta;situacao_resposta;data_resposta;arquivos_resposta_pedido;arquivo_1o_recurso;descricao_1o_recurso;resposta_1o_recurso;orgao_1o_recurso;situacao_1o_recurso;data_resp_1o_recurso;arquivos_resposta_1o_recurso;arquivo_2o_recurso;descricao_2o_recurso;resposta_2o_recurso;orgao_2o_recurso;situacao_2o_recurso;data_resp_2o_recurso;arquivos_resposta_2o_recurso;motivo_pedido;sexo_solicitante;escolaridade_solicitante;profissao_solicitante;bairro_solicitante;cidade_solicitante;uf_solicitante;pais_solicitante;;;
20150013234999?;2015;02/04/2015;;Respondido;SECRETARIA DE SAÚDE;Solicito, com base na Lei de Acesso à Informação, que me seja enviada a relação com os postos de saúde atualmente em funcionamento no município;;Bom dia. Segue, em anexo, a relação das unidades de saúde em funcionamento.;SECRETARIA DE SAÚDE;Respondido;22/04/2015;2015_1932_132_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;M;não informado;não informado;Centro;Recife;Rio de Janeiro;Brasil;;;
20150013320038?;2015;02/04/2015;;Respondido;SECRETARIA DE EDUCACAO;Solicito, com base na Lei de Acesso à Informação, que me seja enviada uma relação com as escolas da rede municipal possuem a Educação para Jovens e Adultos (EJA) atualmente em funcionamento.;;A SECRETARIA DE EDUCAÇÃO informa que a relação das escolas por RPA que possuem turmas do programa EJA foi enviada para o e/mail do requerente em 16 de abril de 2015. Relação em anexo.Atenciosamente, Equipe do Portal da Transparência;SECRETARIA DE EDUCACAO;Respondido;07/05/2015;2015_1997_133_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;M;não informado;não informado;Centro;Recife;Rio de Janeiro;Brasil;;;
20150013448999?;2015;02/04/2015;;Respondido;SECRETARIA DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS;Solicito, com base na Lei de Acesso à Informação, que me seja enviada uma relação com os Centros de Referência da Assistência Social (CRAS) atualmente em funcionamento no município.;;segue relação;SECRETARIA DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS;Respondido;06/04/2015;2015_1861_134_0_R.pdf, 2015_1862_134_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;M;não informado;não informado;Centro;Recife;Rio de Janeiro;Brasil;;;
20150013572065?;2015;02/04/2015;;Respondido;CONTROLADORIA GERAL DO MUNICIPIO;Venho, por meio desta solicitação, pedir que me seja enviado o normativo (Decreto e/ou Lei Municipal) que regulamentou a Lei de Acesso à Informação no município. Caso não exista, solicito que seja informado também.;;Prezado XXXXXXXXXX, Toda legislação está disponível neste portal no link abaixo.http://portaltransparencia.recife.pe.gov.br/codigos/web/geral/legislacao.phpAgradecemos,Controladoria Geral do Município;CONTROLADORIA GERAL DO MUNICIPIO;Respondido;10/04/2015;;;;;;;;;;;;;;;;Pesquisa;M;não informado;não informado;Centro;Recife;Rio de Janeiro;Brasil;;;
20150036303999?;2015;14/08/2015;;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Solicito acesso ao serviço de monitoramento de GPS dos onibus da cidade de Recife, com intuito de guarnecer um aplicativo gratuito de mobilidade urbana com foco em transporte público. Dentre as funções: plano de viagem passo a passo e tempo de chegada no ponto;;Senhor, é de competência das empresas operadoras  o monitoramento da frota de ônibus. Atenciosamente.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;04/09/2015;;;;;;;;;;;;;;;;Outros;M;Pós-graduação;Empresário/empreendedor;Laranjeiras;Rio De Janeiro;Rio de Janeiro;Brasil;;;
20150040018004?;2015;14/08/2015;;Respondido;AUTARQUIA MUNICIPAL DE PREVID E ASSISTÊNCIA À SAÚDE SERVIDORES;Prezados,Boa tarde!! Gostaria de uma cópia de todo o Processo de Contratação/Licitação referente a empresa ECONOMÁTICA / CNPJ 64.919.541/0001/09.Aguardo retorno.Renata Cardoso;;Conforme solicitado segue cópia do Processo de Inexigibilidade Licitação nº 002/2013.;AUTARQUIA MUNICIPAL DE PREVID E ASSISTÊNCIA À SAÚDE SERVIDORES;Respondido;31/08/2015;2015_2788_400_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;F;Pós-graduação;Empregado - setor privado;Flamengo;Rio De Janeiro;Rio de Janeiro;Brasil;;;
20150000161999?;2015;03/01/2015;;Respondido;SECRETARIA DE PLANEJAMENTO E GESTÃO;Solicito o arquivo da apresentação feita pelo secretario Antonio Alexandre na audiência publica para discutir o Plano Específico para a ZEPH 19 / Hospital de Santo Amaro/Vila Naval, realizada no plenarinho da Câmara de Vereadores no dia 04/12/2014.;;Em resposta ao Pedido de Informação a Secretaria de Desenvolvimento e Planejamento Urbano encaminha o arquivo anexo.;SECRETARIA DE PLANEJAMENTO URBANO;Respondido;26/01/2015;2015_1541_1_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;M;Ensino Superior;Estudante;Casa Amarela;Recife;Pernambuco;Brasil;;;
20150000271999?;2015;03/01/2015;;Respondido;SECRETARIA DE PLANEJAMENTO URBANO;Solicito o arquivo da apresentação feita pelo secretario Antonio Alexandre na audiência publica para discutir o Plano Específico para a ZEPH 19 / Hospital de Santo Amaro/Vila Naval, realizada no plenarinho da Câmara de Vereadores no dia 04/12/2014.;;Em resposta ao Pedido de Informação a Secretaria de Desenvolvimento e Planejamento Urbano encaminha arquivo anexo.;SECRETARIA DE PLANEJAMENTO URBANO;Respondido;26/01/2015;2015_1542_2_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;M;Ensino Superior;Estudante;Casa Amarela;Recife;Pernambuco;Brasil;;;
20150000367999?;2015;03/01/2015;;Respondido;INSTITUTO DA CIDADE DO RECIFE PELÓPIDAS SILVEIRA;Solicito o arquivo da apresentação feita pelo secretario Antonio Alexandre na audiência publica para discutir o Plano Específico para a ZEPH 19 / Hospital de Santo Amaro/Vila Naval, realizada no plenarinho da Câmara de Vereadores no dia 04/12/2014.;;A resposta ao Pedido de Informação encontra/se no arquivo anexo.;INSTITUTO DA CIDADE DO RECIFE PELÓPIDAS SILVEIRA;Respondido;26/01/2015;2015_1543_3_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;M;Ensino Superior;Estudante;Casa Amarela;Recife;Pernambuco;Brasil;;;
20150000450068?;2015;05/01/2015;;Respondido;AUTARQUIA DE URBANIZACAO DO RECIFE;Cópia digital dos documentos ref. à versão definitiva do projeto urbanístico, arquitetônico e paisagístico do Parque da Tamarineira, como plantas, perspectivas, relatórios técnicos, memoriais descritivos, bem como o status do processo para a sua implantação.;;Em anexo Nota Técnica relativa ao projeto, pois o mesmo ainda se encontra em análise. Aproveitamos para repassar/lhe o contato responsável pela resposta em caso de desejar obter maiores detalhes.Lembrando que tais informações são passíveis de alteração durante o processo de análise e execução deste projeto. Sem mais, colocamo/nos a disposição para esclarecimentos de duvidas que possam surgir.XXXXXXXXXX Técnica Arquiteta e Urbanista / Fones  3355.5148 e 9942.6552;AUTARQUIA DE URBANIZACAO DO RECIFE;Respondido;26/01/2015;2015_1546_4_0_R.pdf;;;;;;;;;;;;;;;Outros;M;Ensino Superior;Profissional autônomo;Poco;Recife;Pernambuco;Brasil;;;
20150000533028?;2015;05/01/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Solicito em meio digital a relação dos imóveis existentes identificados como em risco de desabamento, com o respectivo laudo técnico quando houver, e a sinalização dos casos que há decisão judicial para demolição parcial ou total.;;Respondendo ao Pedido de Informação a Secretaria Executiva de Defesa Civil envia o arquivo anexo contendo lista de prédios. Laudos de Vistoria relativos aos mesmos, estão disponíveis para conhecimento na sede da Secretaria Executiva de Defesa Civil do Recife, localizada na Av. dos Palmares 550, Santo Amaro, na Gerência de Análise de Risco Tecnológico (GART), com a Chefe do Setor, Sra. Elaine Holanda.;SECRETARIA EXECUTIVA DE DEFESA CIVIL;Respondido;23/01/2015;2015_1540_5_0_R.pdf;;;;;;;;;;;;;;;Outros;M;Ensino Superior;Profissional autônomo;Poco;Recife;Pernambuco;Brasil;;;
20150000603006?;2015;05/01/2015;;Indeferido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;sou residente no endereço, conforme cadastro, pois bem existe pessoas que não estão respeitando sinalização para não estacionar em porta de residenciais, obstruindo o acesso as suas respectivas garagens, ocasionando transtornos de toda sorte. Ajude/nos !;;Indeferimos por não configurar um Pedido de Informação na forma da LAI. Trata/se de uma queixa.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Indeferido;19/01/2015;;;;;;;;;;;;;;;;Denúncia;M;Outra;Outra;Boa Viagem;Recife;Pernambuco;Brasil;;;
20150000772066?;2015;06/01/2015;;Respondido;CONTROLADORIA GERAL DO MUNICIPIO;Conforme legislações vigentes, o que não pode faltar numa Controladoria/ Órgão Central de Controle Interno? Recife atingiu todos os requisitos?Quais ainda faltam atingir?;;Segue resposta no arquivo anexo.;CONTROLADORIA GERAL DO MUNICIPIO;Respondido;12/01/2015;2015_1502_7_0_R.pdf (INFORMA��O DE CUNHO PESSOAL, PROTEGIDA PELA LAI);;;;;;;;;;;;;;;Estudo;M;Pós-graduação;Servidor público municipal;Madalena;Recife;Pernambuco;Brasil;;;
20150000960040?;2015;08/01/2015;;Respondido;SECRETARIA DE FINANÇAS;1.HOUVE AUMENTO DE ALÍQUOTA E/OU DO VALOR VENAL DO IPTU EM RECIFE NOS LANÇAMENTOS OCORRIDOS EM 2009,2010,2011,2012,2013?/ 2.EM CASO POSITIVO, DE QUANTO FOI A MAJORAÇÃO DA ALÍQUOTA E QUAL O PERCENTUAL DE REAJUSTE DO VALOR VENAL?;;Caro Sr.,Apresentando cumprimentos, venho informar que, em relação às alíquotas do IPTU, não houve qualquer alteração legislativa no período em exame.De outra parte, quanto à base de cálculo, vale esclarecer que não houve alterações legislativas no período citado. No entanto, importante ressaltar que atualizações e revisões cadastrais, realizadas em análise individual do imóvel, podem influenciar na composição do valor venal, refletindo, assim, na base de cálculo do imposto.Cordialmente,;SECRETARIA DE FINANÇAS;Respondido;22/01/2015;;;;;;;;;;;;;;;;Não informado;M;Pós-graduação;Servidor público federal;Espinheiro;Recife;Pernambuco;Brasil;;;
20150001003006?;2015;08/01/2015;;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;1.SOLICITO CÓPIA DIGITALIZADA DO ORIGINAL DO CONTRATO ADMINISTRATIVO E SEUS ADITIVOS CELEBRADOS COM A EMPRESA RESPONSÁVEL PELA EXPLORAÇÃO DO SERVIÇO DE FOTOSSENSOR DA R.MADRE DE DEUS,SEMÁFORO 20,BAIRRO DO RECIFE/PE.;;Segue copia anexa do contrato solicitado, inexistindo aditivos no momento.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;30/01/2015;2015_1578_10_0_R.pdf;;;;;;;;;;;;;;;Não informado;M;Pós-graduação;Servidor público federal;Espinheiro;Recife;Pernambuco;Brasil;;;
20150001103006?;2015;08/01/2015;;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;1.SOLICITO CÓPIA DIGITALIZADA DO ORIGINAL DO  Laudo de aferição do INMETRO, com nr. e data da última aferição, DO FOTOSSENSOR DA R.MADRE DE DEUS,SEMÁFORO 20,BAIRRO DO RECIFE/PE.;;Segue anexo.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;30/01/2015;2015_1579_11_0_R.pdf;;;;;;;;;;;;;;;Não informado;M;Pós-graduação;Servidor público federal;Espinheiro;Recife;Pernambuco;Brasil;;;
20150001203006?;2015;08/01/2015;;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;1. SOLICITO CÓPIA DIGITALIZADA DO ORIGINAL DO Estudo técnico que determinou a necessidade do fotosssensor localizado na R. Madre de Deus, semáforo 020, bairro do Recife, S/N. (equipamento 0010831627, marca fotosensore, modelo SMTD, número FS002REC);;Segue anexo.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;30/01/2015;2015_1580_12_0_R.pdf;;;;;;;;;;;;;;;Não informado;M;Pós-graduação;Servidor público federal;Espinheiro;Recife;Pernambuco;Brasil;;;
20150001360040?;2015;09/01/2015;;Respondido;SECRETARIA DE FINANÇAS;Boa tarde,Gostaria de ter acesso a informação do calculo de valor de mercado do referido imovel (em anexo) feito pelos auditores da prefeitura  e baseando/se em critérios tecnicos da ABNT. Conforme é citado no portal da prefeitura Sequencial Imovel:758437.7;20150109_160625320150001360.pdf;"Caro Sr.,Apresentando cordiais cumprimentos, e em função do pedido de informações protocolado em 09 de janeiro de 2015, venho informar que a base de cálculo utilizada no lançamento do imposto  sobre a transmissão ""inter vivos"", a qualquer título, por ato oneroso, de bens imóveis, por natureza ou acessão física, e de direitos reais sobre imóveis / ITBI, do imóvel de sequencial n.º 7584377, teve como referência o valor declarado da operação, conforme documento em anexo.Cordialmente,";SECRETARIA DE FINANÇAS;Respondido;22/01/2015;2015_1537_13_0_R.pdf;;;;;;;;;;;;;;;Outros;M;Pós-graduação;Servidor público federal;Imbiribeira;Recife;Pernambuco;Brasil;;;
20150001433028?;2015;13/01/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Obra em andamenirregular de um lava jato, na rua José Trajano esquina com Rua Francisco da Cunha:Falta de recuo/Utilização do muro limite como coberta/ além de está a 190m do canal e de 200 de outro lava jato na Academia R2, funcionários sem uniforme adequados;;A PCR informa que foram adotadas as providências administrativas referentes ao embargo da obra irregular, por falta de projeto aprovado e licença de construção, conforme Notificação nº 07.166144.15. Para maiores informações, dirigir/se a 6ª Divisão Regional, Av. Senador Robert Kennedy, 350, IPSEPfone: 3355.1250, Recife (PE), no horário das 8hs às 12h30min, de segunda a sexta/feira.;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;27/01/2015;;;;;;;;;;;;;;;;Denúncia;F;Ensino Superior;Empregado - setor privado;Boa Viagem;Recife;Pernambuco;Brasil;;;
